Track,Album Name,Artist,Release Date,ISRC,Spotify Streams,Spotify Playlist Count
Without Me,Without Me,Halsey,10/4/18,USUM71813499,"2,042,792,456","198,888"
meet the grahams,meet the grahams,Kendrick Lamar,5/3/24,USUG12400909,"65,520,394","8,933"
First Person Shooter (feat. J. Cole),For All The Dogs,Drake,10/6/23,USUG12306071,"328,526,298","72,252"
Shallow,Shallow,Lady Gaga,9/27/18,USUM71813192,"2,447,973,078","221,822"
Thunder,Thunder,Imagine Dragons,4/27/17,USUM71704167,"2,384,768,901","244,951"
Rush,Rush,Ayra Starr,9/16/22,NGA3B2216004,"371,886,608","98,009"
abcdefu,abcdefu,GAYLE,8/13/21,USAT22103652,"1,128,273,165","193,857"
Buga,Buga,Kizz Daniel,5/3/22,USUYG1425645,"86,516,910","30,835"
Bad Habit,Bad Habit,Steve Lacy,6/29/22,USRC12201440,"1,087,938,471","220,515"
MONEY,LALISA,LISA,9/10/21,KRA402100099,"1,189,335,848","103,236"
Columbia,Columbia,Quevedo,7/7/23,BK4DA2310533,"721,002,940","84,161"
LADY GAGA,LADY GAGA,Peso Pluma,6/22/23,QM7282306246,"684,204,777","48,370"
Woman,Planet Her,Doja Cat,6/25/21,USRC12101532,"1,606,950,381","217,443"
CUFF IT,RENAISSANCE,Beyoncï¿,7/29/22,USSM12206232,"795,960,535","100,204"
KING KONG,KING KONG,TREASURE,5/28/24,KRA402400030,"8,078,265",207
How You Like That,How You Like That,BLACKPINK,6/25/20,KRA402000111,"1,033,109,188","82,170"
Milf Song,Milf Song,The Puddleducks,8/19/22,QZMEP2285895,"1,165,982","1,176"
Nasty,Nasty,Tinashe,4/12/24,USLD91757578,"31,612,906","3,887"
Superhero (Heroes & Villains),HEROES & VILLAINS,Metro Boomin,12/2/22,USUG12208783,"706,356,280","166,277"
Panda,Panda,Desiigner,2/26/16,USUM71601094,"1,181,348,550","170,002"
Push Ups,Push Ups,Drake,4/19/24,USUG12402283,"107,762,230","14,601"
Tattoo,Tattoo,Loreen,2/25/23,SEUM72201638,"518,846,340","83,033"
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,4/9/21,USRC12100543,"1,823,871,908","262,313"
What It Is (Block Boy) (with Kodak Black),What It Is (Versions),Doechii,3/17/23,USUG12301757,"102,772,879","29,487"
Gata Only,Gata Only - Single,FloyyMenor,12/21/23,QZNN22329474,"4,674,619","1,841"
Illusion,Illusion,Dua Lipa,4/11/24,GBAHT2400114,"108,501,771","7,430"
drivers license,drivers license,Olivia Rodrigo,1/8/21,USUG12004749,"2,184,754,018","250,778"
Used To Be Young,Endless Summer Vacation,Miley Cyrus,8/18/23,USSM12306461,"205,468,104","30,639"
Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/23,KSA012239181,"861,388,470","103,040"
How Sweet,How Sweet,NewJeans,5/24/24,USA2P2414843,"33,595,707","1,940"
Players,Players,Coi Leray,11/30/22,USUM72222387,"465,588,517","91,658"
rockstar (feat. 21 Savage),rockstar,Post Malone,9/15/17,USUM71710087,"2,960,046,642","352,745"
Lil Somethin Somethin,Lil Somethin Somethin,Vayah,3/11/23,QZDA72340256,"11,648",6
Con Calma,Con Calma,Daddy Yankee,1/24/19,US2BU1900125,"1,353,028,938","160,122"
Here With Me,Here With Me,d4vd,7/20/22,QZMEM2209263,"1,042,311,849","154,178"
Favorite Song,Favorite Song,Toosii,2/17/23,USUM72301797,"186,579,651","45,668"
Si No Quieres No,Si No Quieres No - Single,Luis R Conriquez,3/9/24,US3DF2417042,"158,131,138","5,423"
